# STN;YYYYMMDD;HH;T
260;20180206;7;-45
260;20180206;8;-43
260;20180206;9;-41
260;20180206;10;-21
260;20180206;11;-9
260;20180206;12;5
260;20180206;13;11
260;20180206;14;15
260;20180206;15;17
260;20180206;16;3
260;20180206;17;-8
260;20180206;18;-14
260;20180206;19;-19
260;20180206;20;-21
260;20180206;21;-26
260;20180206;22;-30
260;20180206;23;-33
260;20180206;24;-39
260;20180207;1;-42
260;20180207;2;-43
260;20180207;3;-45
260;20180207;4;-51
260;20180207;5;-54
260;20180207;6;-66
260;20180207;7;-55
260;20180207;8;-47
260;20180207;9;-34
260;20180207;10;-15
260;20180207;11;3
260;20180207;12;10
260;20180207;13;16
260;20180207;14;17
260;20180207;15;15
260;20180207;16;9
260;20180207;17;-4
260;20180207;18;-14
260;20180207;19;-30
260;20180207;20;-25
260;20180207;21;-20
260;20180207;22;-18
260;20180207;23;-21
260;20180207;24;-24
260;20180208;1;-17
260;20180208;2;-10
260;20180208;3;-9
260;20180208;4;-12
260;20180208;5;-13
260;20180208;6;-11
260;20180208;7;-13
260;20180208;8;-8
260;20180208;9;4
260;20180208;10;16
260;20180208;11;31
260;20180208;12;32
260;20180208;13;42
260;20180208;14;45
260;20180208;15;44
260;20180208;16;40
260;20180208;17;23
260;20180208;18;24
260;20180208;19;10
260;20180208;20;10
260;20180208;21;5
260;20180208;22;4
260;20180208;23;0
260;20180208;24;-4
260;20180209;1;3
260;20180209;2;0
260;20180209;3;-1
260;20180209;4;-2
260;20180209;5;-4
260;20180209;6;-9
260;20180209;7;-8
260;20180209;8;-7
260;20180209;9;4
260;20180209;10;7
260;20180209;11;11
260;20180209;12;18
260;20180209;13;20
260;20180209;14;21
260;20180209;15;20
260;20180209;16;15
260;20180209;17;11
260;20180209;18;9
260;20180209;19;4
260;20180209;20;5
260;20180209;21;5
260;20180209;22;6
260;20180209;23;5
260;20180209;24;6
260;20180210;1;7
260;20180210;2;8
260;20180210;3;9
260;20180210;4;10
260;20180210;5;8
260;20180210;6;4
260;20180210;7;5
260;20180210;8;11
260;20180210;9;17
260;20180210;10;22
260;20180210;11;35
260;20180210;12;51
260;20180210;13;66
260;20180210;14;62
260;20180210;15;60
260;20180210;16;49
260;20180210;17;43
260;20180210;18;39
260;20180210;19;39
260;20180210;20;38
260;20180210;21;35
260;20180210;22;33
260;20180210;23;27
260;20180210;24;23
260;20180211;1;25
260;20180211;2;29
260;20180211;3;34
260;20180211;4;37
260;20180211;5;40
260;20180211;6;52
260;20180211;7;56
260;20180211;8;60
260;20180211;9;65
260;20180211;10;65
260;20180211;11;64
260;20180211;12;64
260;20180211;13;66
260;20180211;14;64
260;20180211;15;59
260;20180211;16;45
260;20180211;17;43
260;20180211;18;36
260;20180211;19;34
260;20180211;20;21
260;20180211;21;23
260;20180211;22;34
260;20180211;23;35
260;20180211;24;32
260;20180212;1;33
260;20180212;2;30
260;20180212;3;30
260;20180212;4;25
260;20180212;5;26
260;20180212;6;23
260;20180212;7;20
260;20180212;8;22
260;20180212;9;33
260;20180212;10;36
260;20180212;11;39
260;20180212;12;28
260;20180212;13;59
260;20180212;14;60
260;20180212;15;48
260;20180212;16;43
